nPoints    5
L          3.0
sites      32
a        m_pi     m      dm
0.0933	 0.169    1.49   0.12
0.0950	 0.280    1.56   0.05
0.0961	 0.391    1.71   0.03
0.10086  0.515    1.78   0.05
0.1022   0.623    1.90   0.04
a        m_pi     m      dm
0.0933	 0.169    1.55   0.08
0.0950	 0.280    1.75   0.09
0.0961	 0.391    1.77   0.03
0.10086  0.515    1.82   0.02
0.1022   0.623    1.95   0.02

nPoints   4
L         2.0
sites     16
a        m_pi     m        dm
0.1238   0.266    1.272    0.008
0.1219   0.396    1.6355   0.0205
0.1255   0.444    1.6955   0.0177
0.1324   0.524    1.7536   0.0108
a        m_pi     m        dm
0.1238   0.266    1.662    0.030
0.1219   0.696    1.7815   0.0262
0.1255   0.444    1.8159   0.0169
0.1324   0.524    1.8812   0.0113
