nPoints   4
L         2.0
sites     16
a        m_pi     m        dm
0.1238   0.266    1.272    0.008
0.1219   0.396    1.6355   0.0205
0.1255   0.444    1.6955   0.0177
0.1324   0.524    1.7536   0.0108
a        m_pi     m        dm
0.1238   0.266    1.662    0.030
0.1219   0.396    1.7815   0.0262
0.1255   0.444    1.8159   0.0169
0.1324   0.524    1.8812   0.0113



adjusted JLab masses
a        m_pi     m        dm
0.1238   0.266    1.272    0.008
0.1219   0.396    1.6355   0.0205
0.1255   0.444    1.6955   0.0177
0.1324   0.524    1.7536   0.0108
a        m_pi     m        dm
0.1238   0.266    1.662    0.030
0.1219   0.396    1.7815   0.0262
0.1255   0.444    1.8159   0.0169
0.1324   0.524    1.8812   0.0113

unadjusted JLab masses
a        m_pi     m        dm
0.1238   0.266    1.272    0.008
0.1219   0.396    1.7074   0.0214
0.1255   0.444    1.7663   0.0184
0.1324   0.524    1.8190   0.0112
a        m_pi     m        dm
0.1238   0.266    1.662    0.030
0.1219   0.396    1.8598   0.0273
0.1255   0.444    1.8917   0.0176
0.1324   0.524    1.9514   0.0117
